date	sha	gbps	tag
2026-07-03	f25d799e3d	0.530330	
2026-07-03	f9bc0f2ed7	0.533926	
2026-07-03	3cafc48d51	0.533628	
2026-07-03	1209ee8e21	0.526999	
2026-07-04	5bc74596fc	0.530858	
2026-07-04	bb0141e24d	0.526703	
2026-07-06	5b94addcba	0.538296	
2026-07-09	761db09e5d	0.533829	
2026-07-10	7e3af8a62f	0.538334	
2026-07-11	013a36e413	0.541315	
2026-07-11	c4f3af647c	0.542189	
2026-07-11	37bbc4a14d	0.543190	
2026-07-11	e441d2c195	0.547551	
2026-07-12	46746c907e	0.536580	
2026-07-12	cf85bbf86e	0.718578	
2026-07-13	cfb50a5147	0.711013	
2026-07-13	061906916e	0.756914	
2026-07-13	9a45290ee3	0.756187	
2026-07-13	9d633daf10	0.760353	
2026-07-13	be4c6745e0	0.760983	
2026-07-13	4fe8a2415f	0.710295	
2026-07-14	e2bb50434a	0.705211	
2026-07-14	1e3b300977	0.706601	
2026-07-15	56950d382e	0.712449	
2026-07-16	be32288df9	0.711802	
2026-07-17	fbea5b017d	0.707436	
2026-07-17	8942938b89	0.718523	
2026-07-19	308110b26b	0.718968	
2026-07-27	95608e55bc	0.708695	
2026-07-27	e8a0a84068	0.711788	
2026-07-27	16a5772360	0.708610	
2026-07-27	c041a5e826	0.708634	
2026-07-27	b12a893a45	0.707254	v4.0.0
2026-07-27	30f3f3020c	0.707640	
2026-07-31	d154358805	0.712596	
2026-07-31	d0d70e3528	0.699954	
2026-08-01	df2521c37d	0.693027	
2026-08-01	1038e274a4	0.694868	
2026-08-01	74182a1585	0.705124	
2026-08-01	cac6a7271d	0.699845	
2026-08-01	32dabc8d39	0.704583	
2026-08-06	097ce22aab	0.700651	
2026-08-06	9c626c5aea	0.699774	
2026-08-06	a9951070ac	0.713850	
2026-08-06	af50c9f911	0.694406	
2026-08-06	6cfb39c0cf	0.703542	
2026-08-11	9c1ca2645c	0.711869	
2026-08-17	0b88932ff5	0.923812	
2026-08-17	6cf5db38a3	0.927890	
2026-08-17	b9e3d09269	0.929981	
2026-08-17	2705334342	1.026071	
2026-08-17	18c65ce030	1.243558	
2026-08-18	2dd91945f2	1.279838	
2026-08-18	87fe61270a	1.292213	
2026-08-20	5642b525d8	1.300050	
2026-08-20	86c96add23	1.298665	
2026-08-20	4b8b4bfe5b	1.311326	
2026-08-20	18ca958b19	1.305752	
2026-08-21	fa9a175946	1.290208	
2026-08-22	c229795fc2	1.277391	
