tc	idx	sha	date	bench	mbs	cb	ib	subject
clangpaper	035	1a57afec1fe7	2026-04-10T20:19:46-04:00	parsing_citm	2287.08	1.51	6.14	Various guards (#2673)
clangpaper	036	72e51a9a81e7	2026-04-10T20:26:00-04:00	serialization_twitter	4794.91	0.72	3.27	Add support for RFC 7464 JSON text sequences and comma-delimited documents (#2664)
clangpaper	036	72e51a9a81e7	2026-04-10T20:26:00-04:00	serialization_citm	3148.16	1.09	5.37	Add support for RFC 7464 JSON text sequences and comma-delimited documents (#2664)
clangpaper	036	72e51a9a81e7	2026-04-10T20:26:00-04:00	parsing_twitter	4752.38	0.72	2.6	Add support for RFC 7464 JSON text sequences and comma-delimited documents (#2664)
clangpaper	036	72e51a9a81e7	2026-04-10T20:26:00-04:00	parsing_citm	2294.96	1.5	6.14	Add support for RFC 7464 JSON text sequences and comma-delimited documents (#2664)
clangpaper	037	94c429aa70d2	2026-04-11T14:16:43-04:00	serialization_twitter	4815.95	0.72	3.27	finishing up the new streaming (#2674)
clangpaper	037	94c429aa70d2	2026-04-11T14:16:43-04:00	serialization_citm	3175.52	1.08	5.37	finishing up the new streaming (#2674)
clangpaper	037	94c429aa70d2	2026-04-11T14:16:43-04:00	parsing_twitter	4790.58	0.72	2.6	finishing up the new streaming (#2674)
clangpaper	037	94c429aa70d2	2026-04-11T14:16:43-04:00	parsing_citm	2289.36	1.51	6.14	finishing up the new streaming (#2674)
clangpaper	038	8ea4c1c2e6b9	2026-04-12T17:06:27-04:00	serialization_twitter	4828.44	0.72	3.27	being more precise
clangpaper	038	8ea4c1c2e6b9	2026-04-12T17:06:27-04:00	serialization_citm	3181.47	1.09	5.37	being more precise
clangpaper	038	8ea4c1c2e6b9	2026-04-12T17:06:27-04:00	parsing_twitter	4783.07	0.72	2.6	being more precise
clangpaper	038	8ea4c1c2e6b9	2026-04-12T17:06:27-04:00	parsing_citm	2293.25	1.5	6.14	being more precise
clangpaper	039	ede31290819a	2026-04-12T18:09:46-04:00	serialization_twitter	4591.56	0.76	3.27	modernizing the benchmarks (#2679)
clangpaper	039	ede31290819a	2026-04-12T18:09:46-04:00	serialization_citm	3155.58	1.1	5.37	modernizing the benchmarks (#2679)
clangpaper	039	ede31290819a	2026-04-12T18:09:46-04:00	parsing_twitter	4774.04	0.72	2.6	modernizing the benchmarks (#2679)
clangpaper	039	ede31290819a	2026-04-12T18:09:46-04:00	parsing_citm	2275.81	1.51	6.14	modernizing the benchmarks (#2679)
clangpaper	040	4ec44e88c99a	2026-04-12T18:12:31-04:00	serialization_twitter	4620.47	0.75	3.27	adding memory-file mapping to Windows + better doc (#2676)
clangpaper	040	4ec44e88c99a	2026-04-12T18:12:31-04:00	serialization_citm	3147.61	1.09	5.37	adding memory-file mapping to Windows + better doc (#2676)
clangpaper	040	4ec44e88c99a	2026-04-12T18:12:31-04:00	parsing_twitter	4796.49	0.72	2.6	adding memory-file mapping to Windows + better doc (#2676)
clangpaper	040	4ec44e88c99a	2026-04-12T18:12:31-04:00	parsing_citm	2277.25	1.51	6.14	adding memory-file mapping to Windows + better doc (#2676)
clangpaper	041	3ecda9ee990a	2026-04-13T17:54:35-04:00	serialization_twitter	4604.24	0.75	3.27	pedantic checks for 32-bit systems who try to allocate enormous capacities.
clangpaper	041	3ecda9ee990a	2026-04-13T17:54:35-04:00	serialization_citm	3187.03	1.09	5.37	pedantic checks for 32-bit systems who try to allocate enormous capacities.
clangpaper	041	3ecda9ee990a	2026-04-13T17:54:35-04:00	parsing_twitter	4802.44	0.72	2.6	pedantic checks for 32-bit systems who try to allocate enormous capacities.
clangpaper	041	3ecda9ee990a	2026-04-13T17:54:35-04:00	parsing_citm	2273.36	1.52	6.14	pedantic checks for 32-bit systems who try to allocate enormous capacities.
clangpaper	042	7cc60672e33f	2026-04-13T17:55:05-04:00	serialization_twitter	4619.81	0.75	3.27	Merge branch 'master' of github.com:simdjson/simdjson
clangpaper	042	7cc60672e33f	2026-04-13T17:55:05-04:00	serialization_citm	3167.83	1.09	5.37	Merge branch 'master' of github.com:simdjson/simdjson
clangpaper	042	7cc60672e33f	2026-04-13T17:55:05-04:00	parsing_twitter	4779.42	0.72	2.6	Merge branch 'master' of github.com:simdjson/simdjson
clangpaper	042	7cc60672e33f	2026-04-13T17:55:05-04:00	parsing_citm	2276.98	1.51	6.14	Merge branch 'master' of github.com:simdjson/simdjson
clangpaper	043	30d720431290	2026-04-15T12:52:31-04:00	serialization_twitter	4636.0	0.75	3.27	pedantic guard
clangpaper	043	30d720431290	2026-04-15T12:52:31-04:00	serialization_citm	3194.12	1.08	5.37	pedantic guard
clangpaper	043	30d720431290	2026-04-15T12:52:31-04:00	parsing_twitter	4752.31	0.72	2.6	pedantic guard
